"PRINCIPIO ACTIVO","PRESENTACION","PRODUCTO","LABORATORIO","FAMILIA","FORMA"
"atorvastatin","10 mg comp.x 30","LIPOVASTATIN KLONAL","Klonal","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.x 30","AMPLIAR","Casasco","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 30","RONATOR","Ronnet","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 30","VASTINA","Richmond","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","comp.rec.x 30","ATORMAX 40","Gâminis Farmacâ","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 60","AMPLIAR","Casasco","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.rec.x 30","LIPONORM","Lazar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 30","LIPOSTOP","Denver Farma","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.rec.x 60","NORMOLIPOL","Lepetit","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.x 30","PLAN","Craveri","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","comp.rec.x 60","ATORMAX 20","Gâminis Farmacâ","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.x 30","LIPIFEN","Adium","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.x 60","FINLIPOL","Microsules Arg.","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.rec.x 60","ATORVASTATIN RICHET","Richet","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","40 mg comp.x 30","AMPLIAR","Casasco","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.rec.ran.x 60","TORIVAS","Baliarda","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","comp.x 60","VANATOR 10","Vannier","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.rec.x 60","LIPONORM","Lazar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","40 mg comp.rec.x 30","NORMOLIPOL","Lepetit","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.rec.x 30","ATEROCLAR","Beta","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.rec.x 60","LIPAREX","Finadiet","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.rec.x 30","ATARVA","Duncan","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 60","RONATOR","Ronnet","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.x 30","VASTINA","Richmond","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 30","LIPOKEMIA 20","Fecofar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.x 60","AMPLIAR","Casasco","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","40 mg comp.x 30","VASTINA","Richmond","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 30","ATORVASTATINA FABRA","Fabra","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.x 30","LIPOSTOP","Denver Farma","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.x 60","LIPITOR","Aspen Pharma","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","20 mg comp.rec.ran.x 30","TORIVAS","Baliarda","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","10 mg comp.rec.x 60","NORMOLIPOL","Lepetit","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin","comp.rec.x 30","ATORMAX 20","Gâminis Farmacâ","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 30","LIPOCAMBI PLUS","Laboratorios Be","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.rec.x 30","LIPAREX PLUS 20","Finadiet","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10mg comp.rec.x30","TORIMIBE","Baliarda","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 30","AMPLIAR PLUS","Casasco","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10mg comp.x 60(30+30)","PLAN DUO","Craveri","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","40/10 mg comp.x 30","LIPONORM PLUS","Lazar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.rec.x 30","LIPAREX PLUS 10","Finadiet","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10mg comp.rec.x30","TORIMIBE","Baliarda","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","40/10 mg comp.x 30","COLMIBE","Adium","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 30","AMPLIAR PLUS","Casasco","Hipocolesterolemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 30","LIPOKEMIA PLUS 20/10","Fecofar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 60","AMPLIAR DUO","Casasco","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 30","LIPOKEMIA PLUS 10/10","Fecofar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 60","AMPLIAR DUO","Casasco","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10mg comp.x30","ZARATOR PLUS","Elea","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10mg comp.x60 (30+30)","LIPAREX DUO","Finadiet","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 30","LIPIBEC PLUS","Teva Argentina","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10mg comp.x30","ZARATOR PLUS","Elea","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10mg comp.x60 (30+30)","LIPAREX DUO","Finadiet","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 30","LIPONORM PLUS","Lazar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 30","LIPIBEC PLUS","Teva Argentina","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 30","COLMIBE","Adium","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 30","ATEROCLAR COMBI","Beta","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 30","LIPONORM PLUS","Lazar","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 30","COLMIBE","Adium","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","20/10 mg comp.x 30","LIPOCAMBI PLUS","Laboratorios Be","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/10 mg comp.x 30","ATEROCLAR COMBI","Beta","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+ezetimibe","10/20mg comp.x 60(30+30)","PLAN DUO","Craveri","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+fenofibrato","10/134mg compx30+cÂ psx30","HIPOSTEROL","Teva Argentina","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atorvastatin+fenofibrato","20/134mg compx30+cÂ psx30","HIPOSTEROL","Teva Argentina","Hipolipemiante","Comprimidos/Pastillas/Tabletas/Grageas"
"atropina,sulfato","1% sol.oft.x 5 ml","ALCON ATROPINA 1%","Alcon","Midriatico","Gotas oftÂ lmicas/Colirios"
"atropina,sulfato","sol.oft.x 5 ml","KLONATROPINA","Klonal","Midriatico","Gotas oftÂ lmicas/Colirios"
"azitromicina","500 mg comp.rec.x 3","TRIAMID","Beta","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","200 mg/5 ml susp.x 30 ml","MACROMAX PEDIATRICO","Siegfried","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.rec.x 3","NOVOZITRON","Biosintex Retai","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 6","TRIAMID","Beta","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","2 g susp.x 74 ml","MACROMAX 2G","Siegfried","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","susp.x 30 ml","CRONOPEN","Elea","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 3","CETAXIM","Trb-Pharma","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","pvo.p/reconstituir x15ml","AZITROLABSA 200","Labsa","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 6","IZOTROP","Savant Generic","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","200 mg/5 ml susp.x 30 ml","AZITROGAL","Sant Gall","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.rec.x 6","SITROX","Biotenk","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","susp.x 15 ml","CRONOPEN","Elea","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 3","OROBIOTIC","Fortbenton","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 6","CRONOPEN","Elea","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","600 mg susp.oral x 15 ml","ZITROMAX","Pfizer","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.rec.x 6","TALCILINA","Ronnet","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","200 mg/5ml jbe.x 15 ml","FABRAMICINA","Fabra","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 6","TANEZOX","Microsules Arg.","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 3","TANEZOX","Microsules Arg.","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 5","CRONOPEN","Elea","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 3","AZITROMICINA 500","Vent 3","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 3","NEBLIC","Lazar","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","200 mg/5 ml susp.x 15 ml","AZITRONA KLONAL","Klonal","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 6","AZITROMICINA RICHET","Richet","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 6","NEBLIC","Lazar","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 5","DOYLE","Adium","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 3","IZOTROP","Savant Generic","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 3","FABRAMICINA","Fabra","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 6","OROBIOTIC","Fortbenton","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","susp.oral x 15 ml","TREXBIOTIC","Casasco","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","susp.oral x 30 ml","TRITAB","Roemmers","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.rec.x 3","TRITAB","Roemmers","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 3","CRONOPEN","Elea","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","pvo.p/susp.oral x 15 ml","AZITROMICINA RICHET","Richet","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","susp.oral x 15 ml","TRITAB","Roemmers","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 3","AZITRONA KLONAL","Klonal","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 6","AZITROGAL","Sant Gall","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 5","MISULTINA","Laboratorios Be","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","susp.x 15 ml","MISULTINA","Laboratorios Be","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 3","DOYLE","Adium","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","comp.rec.ran.x 7","AZIBIOTIC 500","Baliarda","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 5","AZITROMICINA RICHET","Richet","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 3","TALCILINA","Ronnet","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 6","AZITROX","Austral","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 5","TRIAMID","Beta","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 5","TRITAB","Roemmers","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 6","AZITRONA KLONAL","Klonal","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 5","SITROX","Biotenk","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 6","TREXBIOTIC","Casasco","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 3","AZITROMICINA RICHET","Richet","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","200 mg/5 ml susp.x 15 ml","AZITROX","Austral","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","susp.x 30 ml","MISULTINA","Laboratorios Be","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 3","AZITROGAL","Sant Gall","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 6","MACROMAX","Siegfried","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 3","MISULTINA","Laboratorios Be","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","comp.rec.ran.x 5","AZIBIOTIC 500","Baliarda","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 6","TRITAB","Roemmers","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","susp.oral x 30 ml","TREXBIOTIC","Casasco","Antibiotico","Jarabe/SuspensiÂ¢n oral/Polvo para uso oral"
"azitromicina","500 mg comp.x 3","MACROMAX","Siegfried","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 3","SITROX","Biotenk","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 3","TREXBIOTIC","Casasco","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 3","AZITROX","Austral","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 6","MISULTINA","Laboratorios Be","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 3","CLEARSING","Duncan","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 6","CLEARSING","Duncan","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","comp.rec.ran.x 3","AZIBIOTIC 500","Baliarda","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg tab.x 3","ZITROMAX","Pfizer","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.x 6","CETAXIM","Trb-Pharma","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","comp.rec.x 3","AZITROLABSA 500","Labsa","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azitromicina","500 mg comp.rec.x 6","NOVOZITRON","Biosintex Retai","Antibiotico","Comprimidos/Pastillas/Tabletas/Grageas"
"azul de metileno+asoc.","grag.x 50","MICTASOL AZUL","Laboratorio Mil","Antiseptico urinario","Comprimidos/Pastillas/Tabletas/Grageas"
"benznidazol","100 mg comp.x 100","ABARAX","Elea","Antichagasico","Comprimidos/Pastillas/Tabletas/Grageas"
"benznidazol","50 mg comp.x 100","ABARAX","Elea","Antichagasico","Comprimidos/Pastillas/Tabletas/Grageas"
"benzoilo,peroxido","10% gel x 40 g","ACNESAN","Fortbenton","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","5% gel x 40 g","ACNESAN","Fortbenton","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","5% gel x 60 g","BENZIHEX AC","Galderma","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","10% gel x 70 g","PARACNE","Panalab","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","5% gel x 70 g","PARACNE","Panalab","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","10% gel x 60 g","ECNAGEL P.B.","Novoplos","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","10% gel x 60 g","PB GEL","Lagos","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","gel x 60 g","VALUCNE PB 10%","Valuge","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","5% gel x 60 g","PB GEL","Lagos","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","5% gel x 40 g","VIXIDERM E","Siegfried","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","5% gel x 60 g","ECNAGEL P.B.","Novoplos","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"benzoilo,peroxido","gel x 60 g","VALUCNE PB 5%","Valuge","Antiacneico","Cremas/Geles/Pomadas/UngÂentos"
"betahistina","16 mg comp.x 30","BETAHISTINA RICHET","Richet","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","OTEVIL","Casasco","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","8 mg comp.x 30","TIVEG","Eczane","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.ranur.x 30","AUDIPAX 16","Baliarda","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","8 mg comp.x 30","BETAHISTINA RICHET","Richet","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","8 mg comp.x 30","MICROSER","Vannier-Grunent","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","8 mg comp.x 30","MENIEX","Fortbenton","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.x 30","OTEVIL","Casasco","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.ran. x 30","RILIF","Montpellier","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","TIVEG","Eczane","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","RONISTINA DUO","Rontag","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","BETINA","Eurofarma","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","MENIEX","Fortbenton","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","BETASERC","Abbott EPD","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","8 mg comp.x 30","RONISTINA","Rontag","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.ran.x 30","RILIF","Montpellier","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.x 30","TIVEG","Eczane","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.x 30","BETINA","Eurofarma","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","8 mg comp.x 30","BETASERC","Abbott EPD","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.x 30","MENIEX","Fortbenton","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.birran.x 30","RONISTINA DUO MD","Rontag","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.x 30","BETASERC","Abbott EPD","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.birran.x 30","AUDIPAX MULTIDOSIS","Baliarda","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.x 30","MICROSER FORTE","Vannier-Grunent","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","16 mg comp.x 30","RONISTINA","Rontag","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","MICROSER ULTRA","Vannier-Grunent","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betahistina","24 mg comp.x 30","BETAHISTINA RICHET","Richet","Antivertiginoso","Comprimidos/Pastillas/Tabletas/Grageas"
"betametasona","cr.x 30 g","CORTEROID","Montpellier","Corticosteroide","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","cr.x 20 g","CORTICAS","Casasco","Corticosteroide topico","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","iny.f.a.x 1 x 2 ml","CORTICAS","Casasco","Corticosteroide","Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent"
"betametasona","cr.x 15 g","DIPROSONE","Organon Arg.","Corticosteroide","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","gts.x 30 ml","CORTEROID","Montpellier","Corticosteroide","Gotas orales"
"betametasona","gts.x 15 ml","BETAMAT","Lafedar","Corticosteroide","Gotas orales"
"betametasona","loc.x 30 ml","BETNOVATE CAPILAR","GlaxoSmithKline","Corticosteroide","SoluciÂ¢n de uso externo/LociÂ¢n"
"betametasona","gts.x 20 ml","BETAMAT","Lafedar","Corticosteroide","Gotas orales"
"betametasona","gts.x 20 ml","CORTICAS","Casasco","Corticosteroide","Gotas orales"
"betametasona","0.6 mg comp.x 10","DEPOCORT","Roemmers","Corticosteroide","Comprimidos/Pastillas/Tabletas/Grageas"
"betametasona","cr.x 15 g","BETNOVATE","GlaxoSmithKline","Corticosteroide","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","cr.x 30 g","BACTISONA CREMA","L.D.A.","Corticosteroide topico","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","0.5 mg/ml liq.x 15 ml","BETASONE G","Klonal","Corticosteroide","Gotas orales"
"betametasona","cr.x 20 g","METABULGIN","Biosintex","Corticosteroide","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","1.2 mg comp.x 30","CORTICAS","Casasco","Corticosteroide","Comprimidos/Pastillas/Tabletas/Grageas"
"betametasona","1.2 mg comp.x 30","CORTEROID","Montpellier","Corticosteroide","Comprimidos/Pastillas/Tabletas/Grageas"
"betametasona","gts.x 30 ml","CORTICAS","Casasco","Corticosteroide","Gotas orales"
"betametasona","gts.x 10 ml","BETAMAT","Lafedar","Corticosteroide","Gotas orales"
"betametasona","0.6 mg comp.x 30","CORTICAS","Casasco","Corticosteroide","Comprimidos/Pastillas/Tabletas/Grageas"
"betametasona","susp.oral x 30 ml","VITACORTIL B","Biosintex","Corticosteroide","Gotas orales"
"betametasona","0.6 mg comp.x 30","DEPOCORT","Roemmers","Corticosteroide","Comprimidos/Pastillas/Tabletas/Grageas"
"betametasona","cr.x 15 g","NOVOCORT","AndrÂ¢maco","Corticosteroide","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","0.6 mg comp.x 30","CORTEROID","Montpellier","Corticosteroide","Comprimidos/Pastillas/Tabletas/Grageas"
"betametasona","lÂ¡q.x 15 ml","CELESTONE","Organon Arg.","Corticosteroide","Gotas orales"
"betametasona","cr.x 15 g","BETAMAT","Lafedar","Corticosteroide","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","cr.x 15 g","BUTASONA FABRA","Fabra","Antiinflamatorio","Cremas/Geles/Pomadas/UngÂentos"
"betametasona","iny.f.a.x 1 x 2 ml","CORTEROID","Montpellier","Corticosteroide","Ampollas/Frascos-Ampolla/Liofilizados/Soluc.Parent"
