Name,EVS ID,Histology,Radiation,Remarks,Primary Site,Alternate Names,Drugs
DDP-MECY,,,,,,,Cisplatin;Leucovorin;Methotrexate;Cyclophosphamide
DECA,,,,,,EDAP,Etoposide;Dexamethasone;Cisplatin;Cytarabine
DECAL,,,,,,,Etoposide;Dexamethasone;Asparaginase;Cisplatin;Cytarabine
DFV,,,,,,CF;Wayne State protocol;PF;FUP,Fluorouracil;Cisplatin
DHAP,,,,,,,Dexamethasone;Cisplatin;Cytarabine
DOAP,,,,,,,Daunorubicin Hydrochloride;Cytarabine;Prednisone;Vincristine
DT-PACE,,,,,,,Etoposide;Thalidomide;Dexamethasone;Doxorubicin;Cisplatin;Cyclophosphamide
DTIC+BCNU+Cisplatin,,,,,,,Dacarbazine;Cisplatin;Carmustine
DTIC-ACTD,,,,,,,Dactinomycin;Dacarbazine
DVB,,,,,,,Cisplatin;Bleomycin;Vindesine
DVBE,,,,,,ABVE,Etoposide;Doxorubicin;Bleomycin;Vincristine
DVBE-PC,,,,,,ABVE-PC,Etoposide;Doxorubicin;Prednisone;Cyclophosphamide;Bleomycin;Vincristine
DVD,,,,,,,Dexamethasone;Vincristine
DVM,,,,,,,Mitoguazone;Cisplatin;Vindesine
DVP,,,,,,VDP,Daunorubicin Hydrochloride;Prednisone;Vincristine
DVd-R,,,,,,,Dexamethasone;Lenalidomide;Vincristine
DZAPO,,,,,,,Azacitidine;Daunorubicin Hydrochloride;Cytarabine;Prednisone;Vincristine
Dartmouth regimen,,,,,,,Tamoxifen;Dacarbazine;Cisplatin;Carmustine
Dexa-BEAM,,,,,,,Etoposide;Dexamethasone;Melphalan;Cytarabine;Carmustine
E-CMF,,,,,,,Epirubicin;Fluorouracil;Methotrexate;Cyclophosphamide
E-MVAC,,,,,,,Doxorubicin;Methotrexate;Cyclophosphamide;Vinblastine
EBAP,,,,,,,Doxorubicin;Prednisone;Vindesine;Carmustine
ECF,,,,,,,Epirubicin;Fluorouracil;Cisplatin
ECHO,,,,,,VOCA;CAVV,Etoposide;Doxorubicin;Cyclophosphamide;Vincristine
ECMV,,,,,,,Etoposide;Doxorubicin;Methotrexate;Vincristine
ECOG,,,,,,,Vidaza;Gemcitabine
ECX,,,,,,,Epirubicin;Cisplatin;Capecitabine
EFP,,,,,,FED,Etoposide;Fluorouracil;Cisplatin
ELF,,,,,,,Etoposide;Fluorouracil;Leucovorin
EMACO,,,,,,,Etoposide;Dactinomycin;Methotrexate;Cyclophosphamide;Vincristine
EOF,,,,,,,Epirubicin;Fluorouracil;Oxaliplatin
EOX,,,,,,,Epirubicin;Oxaliplatin;Capecitabine
EPOCH,,,,,,CHOPE,Etoposide;Prednisone;Cyclophosphamide;Vincristine;Doxorubicin
EPOCH-R,,,,,,,Etoposide;Doxorubicin;Rituximab;Prednisone;Cyclophosphamide;Vincristine
ESHAP,,,,,,,Etoposide;Methylprednisolone;Cisplatin;Cytarabine
ET,,,,,,,Epirubicin;Docetaxel
EVA,,,,,,,Etoposide;Doxorubicin;Vinblastine
EVAP,,,,,,,Etoposide;Doxorubicin;Prednisolone;Vinblastine
FA,,,,,,AF,Fluorouracil;Doxorubicin
FAC-BCG,,,,,,,Tegafur;BCG;Doxorubicin;Cyclophosphamide
FAC-LEV,,,,,,,Fluorouracil;Levamisole;Doxorubicin;Cyclophosphamide
FACS,,,,,,,Fluorouracil;Streptozocin;Doxorubicin;Cyclophosphamide
FACVP,,,,,,,Etoposide;Fluorouracil;Doxorubicin;Cyclophosphamide
FAM-CF,,,,,,,Mitomycin;Fluorouracil;Doxorubicin;Leucovorin
FAM-S,,,,,,,Mitomycin;Fluorouracil;Streptozocin;Doxorubicin
FAMMe,,,,,,,Mitomycin;Fluorouracil;Doxorubicin;Semustine
FAMTX,,,,,,AFM,Fluorouracil;Doxorubicin;Methotrexate
FAP,,,,,,PAF,Fluorouracil;Doxorubicin;Cisplatin
FC,,,,,,,Fludarabine;Cyclophosphamide
FCAP,,,,,,,Fluorouracil;Doxorubicin;Cisplatin;Cyclophosphamide
FCT,,,,,,,Fludarabine;Topotecan;Cyclophosphamide
FIMe,,,,,,,Fluorouracil;Semustine;Razoxane
FL,,,,,,,Flutamide;Leuprolide Acetate
FLAG,,,,,,,Fludarabine;Meg-CSF;Cytarabine
FLAG-Ida,,,,,,,Fludarabine;Meg-CSF;Idarubicin;Cytarabine
FLAP,,,,,,,Fluorouracil;Doxorubicin;Cisplatin;Leucovorin
FLOT,,,,,Gastric-esophageal;Gastric,,Fluorouracil;Oxaliplatin;Docetaxel;Leucovorin
FND,,,,,,,Mitoxantrone;Fludarabine;Dexamethasone
FNM,,,,,,,Mitoxantrone;Fluorouracil;Methotrexate
FOAM,,,,,,,Mitomycin;Fluorouracil;Doxorubicin;Vincristine
FOLFIRI,,,,,,,Zaltrap;Fluorouracil;Leucovorin;Irinotecan
FOLFIRINOX,,,,,,FOIL,Fluorouracil;Leucovorin;Oxaliplatin;Irinotecan
FOLFOX,,,,,,FLO;FLOX;FOLFOX4;OFF;FOLFOX6;FOLFOX7,Fluorouracil;Leucovorin;Oxaliplatin
FOLFOXIRI,,,,,,,Fluorouracil;Oxaliplatin;Irinotecan
FP,,,,,,,Fludarabine;Prednisone
FR,,,,,,,Fludarabine;Rituximab
FURAM,,,,,,,Mitomycin;Tegafur;Doxorubicin
FUVAC,,,,,,,Fluorouracil;Doxorubicin;Cyclophosphamide;Vinblastine
FZ,,,,,,,Flutamide;Zoladex
Fluosol/BCNU,,,,,,,Gentamicin;Carmustine
GCP,,,,,,,Gemcitabine;Paclitaxel;Carboplatin
GEM-CAP,,,,,,,Gemcitabine;Capecitabine
GEMOX-B,,,,,,,Bevacizumab;Gemcitabine;Oxaliplatin
GTP,,,,,,,Cisplatin;Gemcitabine;Paclitaxel
GTX,,,,,,,Docetaxel;Gemcitabine;Capecitabine
GVD,,,,,,,"Doxorubicin, liposome-encapsulated;Gemcitabine;Vinorelbine"
GemCis,,,,,,,Cisplatin;Gemcitabine
GemIri,,,,,,,Gemcitabine;Irinotecan
GemOx,,,,,,,Gemcitabine;Oxaliplatin
HAD,,,,,,,Altretamine;Doxorubicin;Cisplatin
HAMP,,,,,,,Altretamine;Doxorubicin;Cisplatin;Methotrexate
HEXA-CAF,,,,,,,Floxuridine;Altretamine;Methotrexate;Cyclophosphamide
HI-CDAZE,,,,,,,Etoposide;Azacitidine;Daunorubicin Hydrochloride;Cytarabine
HOAP-BLEO,,,,,,,Doxorubicin;Cytarabine;Prednisone;Bleomycin;Vincristine
HOP,,,,,,OPA;APO;AdOP;AdOAP,Doxorubicin;Prednisone;Vincristine
Hexa-CAF,,,,,,,Fluorouracil;Altretamine;Methotrexate;Cyclophosphamide
HiC-COM,,,,,,,Elliott's B Solution;Allopurinol;Leucovorin;Methotrexate;Cytarabine;Cyclophosphamide;Vincristine
HiDAC,,,,,,HDAC;HDARA-C,Cytarabine
Hyper-CVAD,,,,,,,Dexamethasone;Doxorubicin;Mesna;Cyclophosphamide;Vincristine
ICE,,,,,,MICE,Etoposide;Mesna;Ifosfamide;Carboplatin
ICE-V,,,,,,,Etoposide;Mesna;Ifosfamide;Vincristine;Carboplatin
ID,,,,,,DI,Doxorubicin;Ifosfamide
IDMTX,,,,,,HMTX;HDMTX,Methotrexate
IE,,,,,,,Etoposide;Ifosfamide
IFL,,,,,,Saltz regimen;mIFL;Douillard regimen;deGramont regimen;FLOFIRI;LV5FU-P;AIO,Fluorouracil;Leucovorin;Irinotecan
IFN+DTIC,,,,,,,Dacarbazine;Interferon
IFoVP,,,,,,,Etoposide;Mesna;Ifosfamide
IMF,,,,,,,Fluorouracil;Mesna;Ifosfamide;Methotrexate
IMVP-16,,,,,,,Etoposide;Ifosfamide;Methotrexate
IP,,,,,,,Cisplatin;Irinotecan
IPB,,,,,,,Bevacizumab;Cisplatin;Irinotecan
IROX,,,,,,,Oxaliplatin;Irinotecan
IVAC,,,,,,,Etoposide;Mesna;Ifosfamide;Methotrexate;Cytarabine;Leukine
JEB,,,,,,CEB,Etoposide;Bleomycin;Carboplatin
KAVE,,,,,,,Estramustine Phosphate Sodium;Doxorubicin;Ketoconazole;Vinblastine
KGC,,,,,,,Carbenicillin;Total body irradiation;Ultraviolet A
KRd,,Multiple myeloma,,"July 2020 KRd - carfilzomib (Kyprolis) -- chemotherapy, lenalidomide (Revlimid) -- BRM, and dexamethasone -- hormone is a new treatment for newly treated patients with standard- and intermediate-risk multiple myeloma who are not slated for immediate autologous stem cell transplantation (ASCT).

8/12/2025 update: code all three agents",,KRD,Carfilzomib;Lenalidomide;Dexamethasone
L-CF,,,,,,,Leucovorin
L-VAM,,,,,,,Mitomycin;Leuprolide Acetate;Doxorubicin;Vinblastine
LAM,,,,,,,Asparaginase;Methotrexate
LAMPP,,,,,,,"Asparaginase;Doxorubicin, liposome-encapsulated;Methotrexate;Prednisone"
LAPOCA,,,,,,,Asparaginase;Doxorubicin;Cytarabine;Prednisone;Vincristine
LEV,,,,,,FLe,Fluorouracil;Levamisole
LMF,,,,,,,Fluorouracil;Chlorambucil;Methotrexate
LOMAC,,,,,,,Doxorubicin;Leucovorin;Methotrexate;Cyclophosphamide;Vincristine
LSA2-L2,,,,,,,Thioguanine;Daunorubicin Hydrochloride;Asparaginase;Methotrexate;Cytarabine;Prednisone;Cyclophosphamide;Hydroxyurea;Vincristine;Carmustine
LV5FU2,,,,,,LV;Roswell Park Cancer Institute Regimen;F-CL,Fluorouracil;Leucovorin
LVVP,,,,,,,Chlorambucil;Prednisone;Vincristine;Vinblastine
Larson Regimen (245),,,,,,,Daunorubicin Hydrochloride;Asparaginase;Prednisone;Cyclophosphamide;Vincristine
Linker Regimen induction,,,,,,DVPL-ASP;PVDA,Daunorubicin Hydrochloride;Asparaginase;Prednisone;Vincristine
Linker Regimen maintenance,,,,,,MM;MTX/6-MP;MTX + MP,Mercaptopurine;Methotrexate
M-BACOD,,,,,,,Dexamethasone;Doxorubicin;Methotrexate;Cyclophosphamide;Bleomycin;Vincristine
M-BACOS,,,,,,,Methylprednisolone Sodium Succinate;Doxorubicin;Methotrexate;Cyclophosphamide;Bleomycin;Vincristine
M-BAM,,,,,,,Alemtuzumab;Therasphere;Cyclophosphamide
M2,,,,,,VBMCP,Melphalan;Prednisone;Cyclophosphamide;Vincristine;Carmustine
MABOP,,,,,,,Mechlorethamine;Doxorubicin;Prednisone;Bleomycin;Vincristine
MACC,,,,,,CCMA,Lomustine;Doxorubicin;Methotrexate;Cyclophosphamide
MACE,,,,,,,Etoposide;Doxorubicin;Methotrexate;Cyclophosphamide
MACHO,,,,,,,Asparaginase;Doxorubicin;Methotrexate;Cyclophosphamide;Vincristine
MACOP-B,,,,,,COMBAP,Doxorubicin;Methotrexate;Prednisone;Cyclophosphamide;Bleomycin;Vincristine
MAD,,,,,,,Doxorubicin;Semustine
MADDOC,,,,,,,Dacarbazine;Mechlorethamine;Doxorubicin;Cisplatin;Cyclophosphamide;Vincristine
MAZE,,,,,,,Etoposide;Azacitidine
MBC,,,,,,MBD;MBP;PMB,Cisplatin;Methotrexate;Bleomycin
MC,,,,,,,Mitoxantrone;Cytarabine
MCBP,,,,,,,Melphalan;Prednisone;Cyclophosphamide;Carmustine
MCF,,,,,,,Mitomycin;Fluorouracil;Cisplatin
MCP,,,,,,,Melphalan;Prednisone;Cyclophosphamide
MCV,,,,,,CMV,Cisplatin;Methotrexate;Vinblastine
MDLO,,,,,,,Metoclopramide;Dexamethasone;Lorazepam;Ondansetron
MEC,,,,,,EMA-86,Mitoxantrone;Etoposide;Cytarabine
MECY,,,,,,,Methotrexate;Cyclophosphamide
MFL,,,,,,,Fluorouracil;Leucovorin;Methotrexate
MFP,,,,,,,Fluorouracil;Melphalan;Medroxyprogesterone Acetate
MIFA,,,,,,FAM,Mitomycin;Fluorouracil;Doxorubicin
MINE,,,,,,,Mitoxantrone;Etoposide;Mesna;Ifosfamide
MINE-ESHAP,,,,,,,Mitoxantrone;Etoposide;Methylprednisolone;Mesna;Cisplatin;Ifosfamide;Cytarabine
MMOPP,,,,,,,Mechlorethamine;Procarbazine;Methotrexate;Prednisone;Vincristine
MMV,,,,,,,Mitomycin;Methotrexate;Vincristine
MOAD,,,,,,,Dexamethasone;Asparaginase;Methotrexate;Vincristine
MOAP,,,,,,,Methotrexate;Prednisone;Pegaspargase;Vincristine
MOB,,,,,,,Mechlorethamine;Bleomycin;Vincristine
MOBP,,,,,,MOB-III,Mitomycin;Cisplatin;Bleomycin;Vincristine
MOCA,,,,,,CODOX-M,Doxorubicin;Methotrexate;Cyclophosphamide;Vincristine
MOF-S,,,,,,,Fluorouracil;Streptozocin;Semustine;Vincristine
MOMP,,,,,,,Mechlorethamine;Methotrexate;Prednisone;Vincristine
