Name,EVS ID,Histology,Radiation,Remarks,Primary Site,Alternate Names,Drugs
SMILE,,,,,"Extranodal natural killer/T-cell lymphoma, nasal type (ENKL)",,Etoposide;Dexamethasone;Asparaginase;Ifosfamide;Methotrexate
STEAM,,,,,,,Mitomycin;Thioguanine;Dactinomycin;Streptonigrin;Cyclophosphamide
SWOG CMFVP,,,,,,VPCMF;Cooper CMFVP;CMFVP,Fluorouracil;Methotrexate;Prednisone;Cyclophosphamide;Vincristine
Stanford V,,,,,,,Etoposide;Mechlorethamine;Doxorubicin;Prednisone;Bleomycin;Vincristine;Vinblastine
T-10 protocol,,,,,,,Dactinomycin;Doxorubicin;Cisplatin;Leucovorin;Methotrexate;Cyclophosphamide;Bleomycin
T-2 protocol,,,,,,,Dactinomycin;Doxorubicin;Vidaza;Cyclophosphamide;Vincristine
T-CAP,,,,,,,Baker's antifol;Doxorubicin;Cisplatin;Cyclophosphamide
T-CID,,,,,,,Thalidomide;Dexamethasone;Idarubicin;Cyclophosphamide
T-MOP,,,,,,,Thioguanine;Methotrexate;Prednisone;Vincristine
TAC,,,,,,,Docetaxel;Doxorubicin;Cyclophosphamide
TAD,,,,,,DCT;DAT,Thioguanine;Daunorubicin Hydrochloride;Cytarabine
TAXOL/CBDCA,,,,,,CBDCA,Vincristine;Paclitaxel;Carboplatin
TBP,,,,,,,Thiotepa;Prednisone;Bleomycin
TCHP,,,,,Breast,,Docetaxel;Carboplatin;Trastuzumab;Pertuzumab
TEE,,,,,,,Estramustine Phosphate Sodium;Etoposide;Paclitaxel
TEMP,,,,,,,Mitoxantrone;Etoposide;Tamoxifen;Cisplatin
THP,,,,THP is a chemotherapy regimen used to treat HER2-positive breast cancer.,Breast,,Docetaxel;Trastuzumab;Pertuzumab
TIC,,,,,,,Mesna;Ifosfamide;Paclitaxel;Carboplatin
TIP,,,,,,ITP,Mesna;Cisplatin;Ifosfamide;Paclitaxel
TIT,,,,,,,Methotrexate;Cytarabine;Hydrocortisone
TOAP,,,,,,,Thioguanine;Cytarabine;Prednisone;Vincristine
TPCH,,,,,,,Thioguanine;Lomustine;Procarbazine;Hydroxyurea
TPDC-FUHU,,,,,,,Fluorouracil;Thioguanine;Lomustine;Dibromodulcitol;Procarbazine;Hydroxyurea
TPDCV,,,,,,,Thioguanine;Lomustine;Dibromodulcitol;Procarbazine;Vincristine
TPF,,,,,,DCF,Fluorouracil;Docetaxel;Cisplatin
TRAP,,,,,,,Thioguanine;Daunorubicin Hydrochloride;Cytarabine;Prednisone
TT-R,,,,,,,Topotecan;Rituximab;Paclitaxel
Tam Exemestane,,,,,,,Tamoxifen;Exemestane
Tam Letrozole,,,,,,,Tamoxifen;Letrozole
Temozolomide + CRA,,,,,,,Temozolomide;Accutane
UFT,,,,,,,Tegafur
VAAP,,,,,,,Asparaginase;Doxorubicin;Prednisone;Vincristine
VAB 1,,,,,,,Dactinomycin;Bleomycin;Vinblastine
VAB 2,,,,,,,Dactinomycin;Cisplatin;Bleomycin;Vinblastine
VAB 3,,,,,,,Dactinomycin;Cisplatin;Chlorambucil;Cyclophosphamide;Bleomycin;Vinblastine
VAB-V,,,,,,VAB-VI;VAB 4;VAB 5;VAB 6,Dactinomycin;Cisplatin;Cyclophosphamide;Bleomycin;Vinblastine
VABCD,,,,,,,Dacarbazine;Lomustine;Doxorubicin;Bleomycin;Vinblastine
VACA,,,,,,CyVADACT,Dactinomycin;Doxorubicin;Cyclophosphamide;Vincristine
VACAD,,,,,,,Dactinomycin;Dacarbazine;Doxorubicin;Cyclophosphamide;Vincristine
VAD,,,,,,,Dexamethasone;Doxorubicin;Vincristine
VAD/V,,,,,,,Dexamethasone;Doxorubicin;Verapamil;Vincristine
VAFAC,,,,,,CMF-AV,Fluorouracil;Doxorubicin;Methotrexate;Cyclophosphamide;Vincristine
VAI,,,,,,,Dactinomycin;Ifosfamide;Vincristine
VAM,,,,,,,Etoposide;Doxorubicin;Methotrexate
VAP-II,,,,,,,Dactinomycin;Cisplatin;Vinblastine
VATD,,,,,,,Thioguanine;Daunorubicin Hydrochloride;Cytarabine;Vincristine
VATH,,,,,,,Fluoxymesterone;Thiotepa;Doxorubicin;Vinblastine
VAV,,,,,,,Etoposide;Doxorubicin;Vincristine
VB,,,,,,,Bleomycin;Vinblastine
VBA,,,,,,,Doxorubicin;Vincristine;Carmustine
VBAP,,,,,,BVAP,Doxorubicin;Prednisone;Vincristine;Carmustine
VBMF,,,,,,,Fluorouracil;Methotrexate;Bleomycin;Vincristine
VC,,,,,,PE,Etoposide;Carboplatin
VCF,,,,,,,Fluorouracil;Cyclophosphamide;Vincristine
VCMP,,,,,,VMCP,Melphalan;Prednisone;Cyclophosphamide;Vincristine
VDD,,,,,,PAD,Dexamethasone;Doxorubicin;Bortezomib
VDT,,,,,,VTD,Thalidomide;Dexamethasone;Bortezomib
VDT-PACE,,,,,,VTD-PACE,Etoposide;Thalidomide;Dexamethasone;Doxorubicin;Cisplatin;Cyclophosphamide;Bortezomib
VEMP,,,,,,,Ethyl-6-Mercaptopurine;Prednisone;Cyclophosphamide;Vincristine
VIE,,,,,,,Etoposide;Ifosfamide;Vincristine
VIP-B,,,,,,,Etoposide;Cisplatin;Ifosfamide;Bleomycin
VM,,,,,,,Melphalan;Vincristine
VM-26PP,,,,,,,Teniposide;Procarbazine;Prednisone
VMAD,,,,,,OMAD,Dactinomycin;Doxorubicin;Methotrexate;Vincristine
VMC,,,,,,,Etoposide;Leucovorin;Methotrexate
VMPT,,,,,,,Thalidomide;Melphalan;Prednisone;Bortezomib
VNCOP-B,,,,,,,Mitoxantrone;Etoposide;Prednisone;Cyclophosphamide;Bleomycin;Vincristine
VOCAP,,,,,,CAV/EP,Etoposide;Doxorubicin;Cisplatin;Cyclophosphamide;Vincristine
VP/CY,,,,,,CE,Etoposide;Cyclophosphamide
VPBCPr,,,,,,VPVCP,Chlorambucil;Procarbazine;Prednisone;Vincristine;Vinblastine
VPP,,,,,,,Cisplatin
VPV,,,,,,,Etoposide;Cisplatin;Vinblastine
VTEPA,,,,,,,Etoposide;Cisplatin;Paclitaxel;Vinorelbine
ara-C + DNR + PRED + MP,,,,,,,Daunorubicin Hydrochloride;Mercaptopurine;Cytarabine;Prednisolone
ara-C-HU,,,,,,,Hydroxyurea
ara-C/MTX,,,,,,,Methotrexate;Cytarabine;Filgrastim
mini-BEAM,,,,,,BEAM,Etoposide;Melphalan;Cytarabine;Carmustine
super-CM regimen,,,,,,CM-5-FU;CMF,Fluorouracil;Methotrexate;Cyclophosphamide
