T,N,M,Classification,DescY,DescR,DescM,Grade,HER2,ER,PR,Stage
T1c,N0,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G1,Positive,Negative,Negative,IA
T1,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1b,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1c,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Positive,IA
T1,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1a,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1b,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1c,N0,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Positive,Negative,IA
T1,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1b,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1c,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Positive,IA
T1,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1mi,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1a,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1b,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1c,N0,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T0,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1mi,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1a,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1b,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1c,N1mi,M0,c,ANY,ANY,ANY,G1,Negative,Negative,Negative,IB
T1,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1b,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1c,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Positive,IA
T1,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1a,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1b,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1c,N0,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Positive,Negative,IA
T1,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1b,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1c,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Positive,IA
T1,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1a,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1b,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1c,N0,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Positive,Negative,Negative,IA
T1,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1b,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1c,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Positive,IA
T1,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1a,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1b,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1c,N0,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Positive,Negative,IA
T1,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1b,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1c,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Positive,IA
T1,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1mi,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1a,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1b,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1c,N0,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T0,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1mi,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1a,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1b,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1c,N1mi,M0,c,ANY,ANY,ANY,G2,Negative,Negative,Negative,IB
T1,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1b,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1c,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Positive,IA
T1,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1a,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1b,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1c,N0,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T0,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1mi,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1a,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1b,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1c,N1mi,M0,c,ANY,ANY,ANY,G3,Positive,Positive,Negative,IA
T1,N0,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IA
T1mi,N0,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IA
T1a,N0,M0,c,ANY,ANY,ANY,G3,Positive,Negative,Positive,IA
